"COND","CITY","YEAR","SLIM","SIGN","LGHT","BLTE","TFFC","EXPR","WGHT"
2,8,1,8,1,21,26,2,375.833333333333,1.87531450936539
2,2,1,8,6,22,16,1,826.428571428571,2.54213214182114
2,8,1,12,1,33,13,2,293.083333333333,4.69090909090909
2,8,1,10,3,25,93,2,213.809523809524,4.69090909090909
2,8,1,8,1,20,59,2,312.261904761905,4.69090909090909
23,2,1,12,1,21,61,1,226.666666666667,1.1882958547819
2,2,1,7,4,10,19,1,581.517857142857,4.69090909090909
2,3,1,8,1,20,13,2,491.666666666667,4.69090909090909
2,2,1,10,1,9,75,1,242.5,2.90431519699812
2,2,1,10,1,21,64,1,700.833333333333,4.69090909090909
2,2,1,10,1,25,101,1,91.3809523809524,2.28094302554027
2,2,1,10,3,8,40,1,378.75,3.2099533437014
2,2,1,10,1,1,96,1,215.952380952381,1
2,2,1,10,1,10,40,1,444.553571428571,1.6412503755014
2,2,1,8,3,1,56,1,708.571428571429,2.05498809208785
2,5,1,12,1,28,53,1,901.666666666667,1.44943820224719
2,12,1,11,1,29,79,4,827.291666666667,2.43971631205674
24,11,1,10,1,11,18,1,337.678571428571,1.665559970358
23,12,1,7,1,10,65,4,959.642857142857,2.00282286520819
23,12,1,7,3,12,16,3,289.017857142857,2.7520209677788
2,12,1,8,1,29,96,2,610.625,1
2,12,1,7,1,21,14,3,1330.2380952381,1.90056860135855
2,12,1,7,1,25,60,3,163.857142857143,2.02194357366771
2,12,1,7,6,21,56,3,1288.09523809524,1.79400260756193
2,12,1,7,6,21,27,3,640.119047619048,2.43971631205674
2,12,1,7,1,1,14,2,243.690476190476,1.90056860135855
23,12,1,7,1,21,14,3,4.64285714285714,1.90056860135855
23,12,1,7,1,21,14,3,4.64285714285714,1.90056860135855
2,12,1,7,1,8,54,2,1009.28571428571,1.60467083132146
2,11,1,7,4,1,56,1,386.904761904762,2.09017217123333
9,12,1,7,4,1,16,2,373.690476190476,2.66711615388969
2,12,1,7,1,1,9,2,685.595238095238,1.89738327347357
2,12,1,7,4,1,10,2,483.928571428571,2.33772652388797
2,12,1,7,1,21,18,2,534.761904761905,1.665559970358
2,12,1,9,1,10,54,2,307.053571428571,1.60467083132146
2,12,1,9,1,10,54,2,307.053571428571,1.60467083132146
24,12,1,7,4,22,24,2,424.52380952381,2.45369749436078
2,12,1,7,1,3,14,3,199.880952380952,1.90056860135855
2,12,1,11,1,20,79,1,161.309523809524,2.43971631205674
24,12,1,7,1,9,22,2,245.785714285714,1.72051358614512
15,12,1,7,4,3,16,2,1467.7380952381,2.66711615388969
2,12,1,7,1,29,54,1,1175.625,1.60467083132146
3,12,1,7,4,34,24,2,350.333333333333,2.45369749436078
2,12,1,7,4,35,60,2,727.416666666667,1.76572782311134
2,12,1,7,4,25,56,2,259.857142857143,2.09017217123333
8,12,1,7,6,10,24,2,936.607142857143,2.10326086956522
2,12,1,7,4,5,16,3,186.952380952381,2.66711615388969
9,12,1,11,1,29,41,4,816.875,1.22888352597485
2,12,1,7,4,1,36,3,381.190476190476,2.63310086749447
2,12,1,7,4,21,66,3,1145.59523809524,2.59219858156028
2,12,1,7,4,29,42,3,3111.25,1.77015437392796
2,12,1,7,4,1,16,2,151.428571428571,2.66711615388969
2,12,1,7,1,1,12,3,475.119047619048,4.69090909090909
23,12,1,7,1,22,9,2,337.857142857143,1.89738327347357
2,12,1,7,4,30,97,4,1804.16666666667,2.10326086956522
9,12,1,7,1,3,14,2,692.97619047619,1.90056860135855
2,12,1,7,4,10,66,3,374.464285714286,2.59219858156028
2,12,1,7,4,27,44,4,836.666666666667,1.96408354479797
9,12,1,7,4,34,16,3,203.416666666667,2.66711615388969
11,12,1,7,4,21,16,4,422.738095238095,2.66711615388969
9,12,1,7,1,21,42,4,765,1.68143156964542
9,12,1,7,1,29,42,2,946.666666666667,1.68143156964542
2,12,1,7,4,8,16,3,251.964285714286,2.66711615388969
2,12,1,7,4,9,108,2,618.857142857143,4.69090909090909
2,12,1,7,1,5,44,3,55.5238095238095,1.83702531645569
2,12,1,7,4,21,82,2,1076.07142857143,4.69090909090909
2,12,1,7,4,29,44,3,655.833333333333,1.96408354479797
2,12,1,7,4,8,56,3,367.5,2.09017217123333
2,12,1,7,1,1,14,3,541.904761904762,1.90056860135855
2,12,1,7,4,5,16,3,304.714285714286,2.66711615388969
2,12,1,9,1,29,41,4,2128.75,1.22888352597485
23,12,1,7,1,1,54,4,562.97619047619,1.60467083132146
23,12,1,7,4,8,48,2,1786.78571428571,3.07142857142856
2,12,1,7,11,1,16,1,179.166666666667,4.69090909090909
2,12,1,8,1,1,56,3,292.5,1.77007795371782
2,12,1,11,1,1,41,4,1591.78571428571,1.22888352597485
2,12,1,7,4,21,16,2,552.97619047619,2.66711615388969
2,12,1,7,6,14,27,2,83.2857142857143,2.43971631205674
2,12,1,7,1,29,36,4,570,1.89905362776025
2,12,1,7,1,22,16,2,349.047619047619,2.22550904081547
2,12,1,7,1,29,14,2,319.791666666667,1.90056860135855
23,12,1,7,4,1,44,2,380.47619047619,1.96408354479797
2,12,1,7,1,34,26,2,433.916666666667,1.87531450936539
2,12,1,10,1,29,41,4,301.041666666667,1.22888352597485
23,12,1,7,1,21,14,2,128.095238095238,1.90056860135855
2,12,1,9,1,8,61,4,811.607142857143,1.1882958547819
2,12,1,7,1,8,16,2,909.464285714286,2.22550904081547
2,12,1,7,4,34,56,3,291.666666666667,2.09017217123333
2,12,1,8,4,34,44,4,229.916666666667,1.96408354479797
9,12,1,7,4,8,60,3,469.285714285714,1.76572782311134
9,12,1,7,4,8,60,3,469.285714285714,1.76572782311134
9,12,1,7,4,29,66,2,1928.54166666667,2.59219858156028
2,12,1,7,4,1,64,3,653.214285714286,2.28318584070797
2,12,1,7,4,1,64,3,653.214285714286,2.28318584070797
2,12,1,7,4,1,64,3,653.214285714286,2.28318584070797
2,12,1,7,4,8,66,2,1272.32142857143,2.59219858156028
9,12,1,7,4,21,24,2,210,2.45369749436078
2,12,1,7,1,8,9,2,182.857142857143,1.89738327347357
9,12,1,7,4,29,16,2,327.916666666667,2.66711615388969
2,12,1,7,1,29,14,2,475,1.90056860135855
2,12,1,7,1,21,14,2,908.095238095238,1.90056860135855
2,11,1,12,1,11,14,1,337.678571428571,1.90056860135855
2,12,1,7,4,29,56,2,1099.79166666667,2.09017217123333
2,12,1,7,4,34,56,3,857.666666666667,2.09017217123333
2,12,1,7,4,21,56,3,208.928571428571,2.09017217123333
2,12,1,7,1,1,9,3,698.690476190476,1.89738327347357
2,12,1,7,1,29,54,1,1272.08333333333,1.60467083132146
