Mag,Hora Local,Latitud,Longitud,Prof,Region,Status,Ciudad mas cercana,Hora UTC,Last Update
,,,,(km),,,,,
3.6,01/05/2016 13:24,0.21ø S,80.55ø W,10,Near Coast of Ecuador,M,"31.88km Jama,Manabi",01/05/2016 18:24,01/05/2016 18:27
3.7,01/05/2016 13:08,0.12ø S,80.37ø W,7,Near Coast of Ecuador,M,"14.95km Jama,Manabi",01/05/2016 18:08,01/05/2016 18:12
3.5,01/05/2016 13:05,2.96ø S,80.03ø W,50,Near Coast of Ecuador,M,"34.18km Machala,El Oro",01/05/2016 18:05,01/05/2016 18:10
4.2,01/05/2016 11:56,1.28ø S,81.22ø W,5,Off Coast of Ecuador,M,"55.34km Puerto Lopez,Manabi",01/05/2016 16:56,01/05/2016 17:03
3.9,01/05/2016 11:36,0.58ø N,79.84ø W,5,Near Coast of Ecuador,M,"20.40km Muisne,Esmeraldas",01/05/2016 16:36,01/05/2016 16:42
4.2,01/05/2016 11:00,0.90ø S,84.41ø W,10,Off Coast of Ecuador,M,"407.48km Puerto Lopez,Manabi",01/05/2016 16:00,01/05/2016 16:11
4,01/05/2016 6:22,1.62ø S,81.08ø W,10,Off Coast of Ecuador,M,"31.50km Puerto Lopez,Manabi",01/05/2016 11:22,01/05/2016 11:31
4.2,01/05/2016 4:59,0.29ø S,81.02ø W,10,Off Coast of Ecuador,M,"75.38km Bahia de Caraquez,Manabi",01/05/2016 9:59,01/05/2016 10:29
3.8,01/05/2016 1:43,0.36ø S,80.50ø W,7,Near Coast of Ecuador,M,"29.32km San Vicente,Manabi",01/05/2016 6:43,01/05/2016 6:51
4.5,30/04/2016 20:49,0.32ø N,80.18ø W,5,Near Coast of Ecuador,M,"30.96km Pedernales,Manabi",01/05/2016 1:49,01/05/2016 1:54
4.3,30/04/2016 19:14,0.88ø N,80.43ø W,8,Near Coast of Ecuador,M,"54.44km Muisne,Esmeraldas",01/05/2016 0:14,01/05/2016 0:18
4.5,30/04/2016 17:32,0.13ø S,81.02ø W,10,Off Coast of Ecuador,M,"84.53km Jama,Manabi",30/04/2016 22:32,30/04/2016 22:37
3.6,30/04/2016 3:42,1.70ø S,81.13ø W,10,Off Coast of Ecuador,M,"39.66km Puerto Lopez,Manabi",30/04/2016 8:42,30/04/2016 8:50
4.3,29/04/2016 20:44,0.14ø N,80.11ø W,2,Near Coast of Ecuador,M,"9.89km Pedernales,Manabi",30/04/2016 1:44,30/04/2016 1:50
3.9,29/04/2016 18:42,2.47ø S,79.11ø W,3,Ecuador - Canar,M,"21.71km Canar,Canar",29/04/2016 23:42,29/04/2016 23:45
3.6,29/04/2016 18:34,1.19ø S,81.38ø W,10,Off Coast of Ecuador,M,"75.72km Puerto Lopez,Manabi",29/04/2016 23:34,29/04/2016 23:41
3.6,29/04/2016 17:16,1.65ø S,81.12ø W,10,Off Coast of Ecuador,M,"36.66km Puerto Lopez,Manabi",29/04/2016 22:16,29/04/2016 22:26
3.6,29/04/2016 15:06,0.24ø N,80.41ø W,5,Near Coast of Ecuador,M,"44.00km Pedernales,Manabi",29/04/2016 20:06,29/04/2016 20:09
3.8,29/04/2016 10:33,0.08ø S,80.43ø W,4,Near Coast of Ecuador,M,"22.96km Jama,Manabi",29/04/2016 15:33,29/04/2016 15:36
4,29/04/2016 10:29,0.13ø S,80.85ø W,10,Near Coast of Ecuador,M,"65.73km Jama,Manabi",29/04/2016 15:29,29/04/2016 15:34
3.5,29/04/2016 4:54,0.88ø N,80.51ø W,8,Near Coast of Ecuador,M,"62.07km Muisne,Esmeraldas",29/04/2016 9:54,29/04/2016 9:59
3.5,29/04/2016 2:30,0.28ø N,80.90ø W,10,Near Coast of Ecuador,M,"88.81km Jama,Manabi",29/04/2016 7:30,29/04/2016 7:41
3.8,29/04/2016 1:59,0.29ø N,80.39ø W,10,Near Coast of Ecuador,M,"44.73km Pedernales,Manabi",29/04/2016 6:59,29/04/2016 7:03
3.7,29/04/2016 0:37,1.60ø S,80.97ø W,5,Near Coast of Ecuador,M,"19.10km Puerto Lopez,Manabi",29/04/2016 5:37,29/04/2016 5:42
3.5,28/04/2016 23:41,1.62ø S,80.91ø W,10,Near Coast of Ecuador,M,"13.84km Puerto Lopez,Manabi",29/04/2016 4:41,29/04/2016 5:11
4.1,28/04/2016 23:25,0.31ø S,80.58ø W,8,Near Coast of Ecuador,M,"37.20km Jama,Manabi",29/04/2016 4:25,29/04/2016 4:29
4,28/04/2016 23:09,3.25ø S,78.19ø W,10,Ecuador - Morona Santiago,M,"45.82km Gualaquiza,Morona Santiago",29/04/2016 4:09,29/04/2016 4:25
