date_generated,id,congress,chamber,rollnumber,date,keyvote,question,description,yea,nay,Issue1,Issue2,Peltzman1,Peltzman2,Clausen1,mid.dim1,mid.dim2,spread.dim1,spread.dim2,pre,classified,log_likelihood,geo_mean_probability
2017-05-28 11:50:06,RS1140237,114,Senate,237,2015-07-15,,On the Cloture Motion,In the nature of a substitute.,,,,,,,,0.592,0.148,0.317,0.628,0.167,0.898,-18.888,0.825
2017-05-28 11:50:06,RS1140238,114,Senate,238,2015-07-15,,On the Amendment,To establish a climate change education program.,,,,,,,,0.024,-0.107,0.269,0.658,0.886,0.948,-8.985,0.912
2017-05-28 11:50:06,RS1140239,114,Senate,239,2015-07-15,,On the Amendment,To reinstate grants to improve the mental health of children.,,,,,,,,0.319,-0.074,0.203,0.116,0.692,0.876,-24.938,0.773
2017-05-28 11:50:06,RS1140240,114,Senate,240,2015-07-15,,On the Amendment,"To ensure that States measure and report on indicators of student access to critical educational resources and identify disparities in such resources, and for other purposes.",,,,,,,,0.099,-0.117,0.175,0.303,0.826,0.917,-20.109,0.811
2017-05-28 11:50:06,RS1140241,114,Senate,241,2015-07-15,,On the Amendment,To amend the accountability provisions.,,,,,,,,-0.003,-0.093,0.213,-0.188,0.907,0.959,-14.341,0.863
2017-05-28 11:50:06,RS1140242,114,Senate,242,2015-07-16,,On the Amendment,"To provide for State-determined assessment and accountability systems, and for other purposes.",,,,,,,,0.318,0.015,-0.271,-0.53,0.8,0.918,-19.436,0.82
2017-05-28 11:50:06,RS1140243,114,Senate,243,2015-07-16,,On the Amendment,"To provide for youth jobs, and for other purposes.",,,,,,,,-0.081,-0.099,0.42,-0.112,0.953,0.98,-3.749,0.962
2017-05-28 11:50:06,RS1140244,114,Senate,244,2015-07-16,,On the Amendment,To authorize the establishment of American Dream Accounts.,,,,,,,,0.464,-0.117,0.124,-0.059,0.0,0.694,-48.032,0.613
2017-05-28 11:50:06,RS1140245,114,Senate,245,2015-07-16,,On the Amendment,To amend the allocation of funds under subpart 2 of part A of title I of the Elementary and Secondary Education Act of 1965.,,,,,,,,-0.129,-0.245,-0.072,-0.059,0.385,0.755,-52.969,0.582
2017-05-28 11:50:06,RS1140246,114,Senate,246,2015-07-16,,On the Amendment,To amend title V of the Elementary and Secondary Education Act of 1965 to establish a full-service community schools grant program.,,,,,,,,0.255,-0.105,0.265,-0.213,0.841,0.928,-17.552,0.834
