"","V1","V2","V3"
"341",0.657875,0.84242,0.844778
"342",0.656952,0.844966,0.839224
"343",0.636777,0.837403,0.835029
"344",0.656276,0.844367,0.841575
"345",0.636002,0.836378,0.836904
"346",0.649458,0.84211,0.830682
"347",0.657347,0.842646,0.844782
"348",0.643402,0.839532,0.830721
"349",0.649203,0.834146,0.841969
"350",0.659999,0.845827,0.842803
"351",0.656919,0.844639,0.842722
"352",0.663983,0.846783,0.843906
"353",0.634512,0.83293,0.836022
"354",0.657101,0.844688,0.843185
"355",0.652028,0.841903,0.842652
"356",0.638501,0.837744,0.830916
"357",0.662178,0.84599,0.845426
"358",0.659901,0.839867,0.844821
"359",0.653801,0.84287,0.838203
"360",0.666256,0.84742,0.845045
"361",0.664208,0.846883,0.84557
"362",0.667503,0.847739,0.847365
"363",0.644524,0.840557,0.835366
"364",0.662676,0.84683,0.845004
"365",0.633168,0.835993,0.835029
"366",0.635248,0.835605,0.836021
"367",0.650012,0.842259,0.825852
"368",0.649969,0.841728,0.835885
"369",0.659176,0.845573,0.8409
"370",0.648168,0.840865,0.834615
"371",0.641466,0.838966,0.830797
"372",0.644232,0.840063,0.832463
"373",0.661794,0.845613,0.846453
"374",0.646741,0.841061,0.830231
"375",0.654624,0.838082,0.843726
"376",0.663848,0.845334,0.846301
"377",0.644851,0.840329,0.838888
"378",0.629757,0.83172,0.834131
"379",0.667659,0.848078,0.845432
"380",0.654989,0.844134,0.840122
"381",0.662157,0.846032,0.84562
"382",0.649071,0.833287,0.841629
"383",0.643467,0.840213,0.831614
"384",0.633627,0.831716,0.836204
"385",0.662153,0.846446,0.843991
"386",0.66382,0.846536,0.846005
"387",0.663892,0.846528,0.846258
"388",0.637053,0.836433,0.838378
"389",0.644206,0.840231,0.831563
"390",0.639214,0.833514,0.83812
"391",0.651443,0.832174,0.842031
"392",0.656598,0.844178,0.84152
"393",0.634166,0.832009,0.837509
"394",0.65287,0.835115,0.842957
"395",0.649678,0.840509,0.842009
"396",0.628983,0.829664,0.834965
"397",0.665037,0.847549,0.839603
"398",0.640572,0.838732,0.837195
"399",0.636371,0.833468,0.837036
"400",0.66181,0.846757,0.844553
"401",0.632689,0.835097,0.831536
"402",0.636669,0.836071,0.837322
"403",0.66627,0.847485,0.846263
"404",0.651255,0.837617,0.842797
"405",0.632544,0.833585,0.835459
"406",0.631876,0.830704,0.835735
"407",0.660001,0.845488,0.842632
"408",0.643131,0.839927,0.836085
"409",0.664022,0.846799,0.844088
"410",0.640926,0.838982,0.83367
"411",0.634245,0.834273,0.83658
"412",0.659653,0.845434,0.839596
"413",0.635581,0.833179,0.837078
"414",0.647392,0.841362,0.835508
"415",0.662581,0.846065,0.846262
"416",0.66123,0.841125,0.845593
"417",0.647031,0.841214,0.839024
"418",0.665388,0.847487,0.844494
"419",0.649758,0.832044,0.842224
"420",0.655947,0.833917,0.844106
"421",0.661437,0.845176,0.845587
"422",0.657702,0.842206,0.844492
"423",0.665758,0.846664,0.847109
"424",0.644837,0.829911,0.841015
"425",0.659823,0.84645,0.840199
"426",0.651224,0.838373,0.842915
"427",0.629953,0.828051,0.834621
"428",0.642546,0.839651,0.830657
"429",0.64653,0.840956,0.834781
"430",0.641727,0.839227,0.831249
"431",0.658578,0.845172,0.843536
"432",0.633983,0.835562,0.835765
"433",0.639631,0.838755,0.83048
"434",0.644191,0.840608,0.829642
"435",0.642496,0.838962,0.828303
"436",0.658493,0.844038,0.844577
"437",0.665802,0.84649,0.847046
"438",0.642284,0.839516,0.832121
"439",0.640702,0.838108,0.838795
"440",0.641746,0.838876,0.835662
"441",0.640649,0.839007,0.832012
"442",0.659611,0.845607,0.844542
"443",0.664708,0.847256,0.843276
"444",0.649112,0.834032,0.841945
"445",0.655255,0.837078,0.843901
"446",0.663654,0.84678,0.845104
"447",0.640404,0.838743,0.838174
"448",0.667118,0.847576,0.84708
"449",0.638334,0.837359,0.835343
"450",0.637898,0.838,0.835726
"451",0.630267,0.831264,0.834592
"452",0.651289,0.842665,0.837484
"453",0.659749,0.84536,0.843337
"454",0.654176,0.84069,0.843459
"455",0.637017,0.837574,0.834929
"456",0.654578,0.836582,0.843621
"457",0.659534,0.845487,0.843631
"458",0.638534,0.837949,0.838377
"459",0.662453,0.845891,0.843344
"460",0.635339,0.837476,0.834787
"461",0.635678,0.833073,0.836324
"462",0.654037,0.842442,0.843806
"463",0.663442,0.846314,0.844855
"464",0.633705,0.834177,0.836253
"465",0.635599,0.831051,0.836769
"466",0.652934,0.842934,0.837029
"467",0.641484,0.838462,0.831371
"468",0.645688,0.8407,0.836226
"469",0.640294,0.834204,0.838756
"470",0.638941,0.837623,0.834241
"471",0.637359,0.837067,0.837977
"472",0.657969,0.844992,0.842282
"473",0.644309,0.840281,0.83088
"474",0.635058,0.836377,0.835562
"475",0.638721,0.835275,0.837158
"476",0.659643,0.845241,0.844941
"477",0.668678,0.848629,0.844332
"478",0.649257,0.841912,0.832758
"479",0.632012,0.834596,0.835309
"480",0.666606,0.847392,0.84763
"481",0.638898,0.834549,0.838172
"482",0.638826,0.836477,0.837956
"483",0.641235,0.838437,0.828985
"484",0.640132,0.83888,0.830359
"485",0.644569,0.840462,0.831267
"486",0.665284,0.847384,0.844736
"487",0.662937,0.846196,0.843822
"488",0.630557,0.832247,0.835138
"489",0.637797,0.837158,0.837396
"490",0.639286,0.838042,0.83305
"491",0.641135,0.838997,0.8358
"492",0.656265,0.844756,0.841812
"493",0.662167,0.846243,0.845493
"494",0.636644,0.834712,0.837633
"495",0.639511,0.838197,0.837285
"496",0.637609,0.837609,0.831825
"497",0.657826,0.844898,0.842494
"498",0.650912,0.841288,0.843568
"499",0.637211,0.835333,0.837609
"500",0.638297,0.832632,0.838162
"501",0.0096599,0.999145,0.0131906
"502",-0.0101302,0.999512,-0.0120084
"503",0.0174157,0.999757,0.0181735
"504",0.000265802,0.999051,-0.000481355
"505",0.000749188,0.998744,-0.0115792
"506",0.00508205,0.999391,0.0119641
"507",0.0106058,0.99932,-0.00930907
"508",-0.00638937,0.99919,-0.0140427
"509",-0.0106143,0.999322,0.00674508
"510",-0.0025368,0.998976,-0.0134376
"511",0.00341385,0.999403,0.0127922
"512",0.0103621,0.999908,0.00556061
"513",0.00269397,0.99913,0.0110761
"514",-0.0115171,0.999324,-0.00885267
"515",0.00700026,0.999132,0.00992405
"516",-0.010967,0.999441,-0.0145275
"517",0.00367263,0.999243,0.015278
"518",-0.0128086,0.999312,-0.00923963
"519",-0.0063839,0.998836,-0.0103136
"520",0.0125322,0.999518,0.0103925
"521",0.0114624,0.9995,-0.00475574
"522",0.0129506,0.999262,-0.00383766
"523",-0.00252204,0.999087,-0.00581856
"524",0.0112552,0.999275,-0.00277584
"525",0.0078665,0.999116,0.0100762
"526",-0.0118941,0.999754,-0.0108741
"527",-0.000267556,0.998927,0.00878374
"528",0.006499,0.999523,0.0181976
"529",0.0079803,0.999178,0.0071205
"530",-0.00290709,0.99931,-0.00812245
"531",-0.00784452,0.998984,-0.0121961
"532",-0.00936395,0.999538,0.0120371
"533",-0.0114965,0.998956,0.00591723
"534",0.00518777,0.999553,0.0158003
"535",-0.0077623,0.999478,-0.0131251
"536",0.00336328,0.999194,0.00295263
"537",-0.00986007,0.999424,0.00527375
"538",0.0137825,0.999335,0.0162398
"539",0.010819,0.999558,0.00140763
"540",0.00299716,0.9992,-0.0119255
"541",-0.0134403,0.99964,-0.0138974
"542",0.0116199,0.999362,0.00613064
"543",0.0119425,0.999446,0.0146703
"544",-0.0126402,0.999364,-0.0174178
"545",0.0110034,0.99951,0.0115226
"546",0.0101377,0.999242,0.0161415
