# stan_version_major = 2
# stan_version_minor = 15
# stan_version_patch = 0
# model = rus
# method = sample (Default)
#   sample
#     num_samples = 500
#     num_warmup = 500
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 14
# data
#   file = ti.dat
# init = 2 (Default)
# random
#   seed = 2282494892
# output
#   file = ti.30modes.14.csv
#   diagnostic_file =  (Default)
#   refresh = 1
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,c11,a,c44,sigma,c12,C.1.1,C.2.1,C.3.1,C.4.1,C.5.1,C.6.1,C.1.2,C.2.2,C.3.2,C.4.2,C.5.2,C.6.2,C.1.3,C.2.3,C.3.3,C.4.3,C.5.3,C.6.3,C.1.4,C.2.4,C.3.4,C.4.4,C.5.4,C.6.4,C.1.5,C.2.5,C.3.5,C.4.5,C.5.5,C.6.5,C.1.6,C.2.6,C.3.6,C.4.6,C.5.6,C.6.6,yhat.1,yhat.2,yhat.3,yhat.4,yhat.5,yhat.6,yhat.7,yhat.8,yhat.9,yhat.10,yhat.11,yhat.12,yhat.13,yhat.14,yhat.15,yhat.16,yhat.17,yhat.18,yhat.19,yhat.20,yhat.21,yhat.22,yhat.23,yhat.24,yhat.25,yhat.26,yhat.27,yhat.28,yhat.29,yhat.30
-3180.1,1,0.00123103,2,3,0,3217.98,4.68501,0.576096,0.332226,0.657138,3.53164,4.68501,3.53164,3.53164,0,0,0,3.53164,4.68501,3.53164,0,0,0,3.53164,3.53164,4.68501,0,0,0,0,0,0,0.332226,0,0,0,0,0,0,0.332226,0,0,0,0,0,0,0.332226,94.1207,144.301,153.017,161.705,169.731,178.531,189.3,207.33,216.259,228.047,236.681,252.16,252.593,257.76,266.027,269.257,277.51,283.595,288.146,293.282,304.215,304.7,306.552,306.833,307.454,309.465,317.118,328.673,336.503,336.648
-3180.1,0.0023982,0.00239745,2,3,0,3183.57,4.68501,0.576096,0.332226,0.657138,3.53164,4.68501,3.53164,3.53164,0,0,0,3.53164,4.68501,3.53164,0,0,0,3.53164,3.53164,4.68501,0,0,0,0,0,0,0.332226,0,0,0,0,0,0,0.332226,0,0,0,0,0,0,0.332226,93.3189,145.951,152.829,160.891,171.262,177.254,187.883,207.23,217.295,228.534,238.038,252.264,253.441,257.625,266.679,269.262,278.186,282.476,289.618,292.477,304.447,305.928,305.559,307.153,308.514,308.972,315.902,327.731,336.675,337.279
-3176.97,0.995311,0.000248253,2,3,0,3181.23,4.68304,0.576224,0.332382,0.657376,3.52938,4.68304,3.52938,3.52938,0,0,0,3.52938,4.68304,3.52938,0,0,0,3.52938,3.52938,4.68304,0,0,0,0,0,0,0.332382,0,0,0,0,0,0,0.332382,0,0,0,0,0,0,0.332382,94.3974,143.496,153.713,162.947,171.319,177.152,188.251,207.734,215.599,227.932,237.417,253.084,253.15,257.989,267.03,269.253,277.916,282.908,288.015,292.786,303.269,305.438,306.072,307.588,306.739,310.134,316.981,327.713,336.556,336.659
-3171.53,0.944644,0.000479316,2,3,0,3179.91,4.68649,0.576206,0.332619,0.658007,3.53197,4.68649,3.53197,3.53197,0,0,0,3.53197,4.68649,3.53197,0,0,0,3.53197,3.53197,4.68649,0,0,0,0,0,0,0.332619,0,0,0,0,0,0,0.332619,0,0,0,0,0,0,0.332619,94.4224,144.908,152.192,161.955,169.298,177.834,188.456,207.833,215.81,228.192,237.108,253.322,252.522,256.225,266.958,268.206,278.464,284.13,287.625,291.907,304.892,305.152,307.061,306.875,307.833,309.194,315.614,329.401,336.007,337.14
-3109.93,1,0.000791626,2,3,0,3171.18,4.6865,0.57834,0.332575,0.663351,3.5364,4.6865,3.5364,3.5364,0,0,0,3.5364,4.6865,3.5364,0,0,0,3.5364,3.5364,4.6865,0,0,0,0,0,0,0.332575,0,0,0,0,0,0,0.332575,0,0,0,0,0,0,0.332575,93.8804,144.081,153.038,162.333,170.321,178.77,188.146,206.981,215.592,228.566,238.352,253.348,254.381,257.741,267.221,267.876,277.122,282.819,287.573,291.793,303.965,305.938,307.327,307.268,306.128,310.436,317.869,327.491,335.417,336.998
-2914.22,0.925667,0.00151955,2,3,0,3109.23,4.68,0.582793,0.334044,0.68316,3.53364,4.68,3.53364,3.53364,0,0,0,3.53364,4.68,3.53364,0,0,0,3.53364,3.53364,4.68,0,0,0,0,0,0,0.334044,0,0,0,0,0,0,0.334044,0,0,0,0,0,0,0.334044,93.5164,142.507,151.371,163.03,169.991,177.494,189.402,207.667,215.34,227.36,237.543,253.276,253.306,257.514,266.479,269.54,277.71,284.109,288.479,291.897,302.374,306.437,307.214,306.741,307.821,309.449,316.684,328.215,337.343,337.847
-2914.22,2.98783e-17,0.00233811,1,1,0,2915.8,4.68,0.582793,0.334044,0.68316,3.53364,4.68,3.53364,3.53364,0,0,0,3.53364,4.68,3.53364,0,0,0,3.53364,3.53364,4.68,0,0,0,0,0,0,0.334044,0,0,0,0,0,0,0.334044,0,0,0,0,0,0,0.334044,94.8805,144.776,152.837,162.735,170.742,177.638,187.93,207.224,216.164,227.224,238.841,251.686,253.171,258.428,265.98,268.953,277.7,284.065,289.481,291.563,302.37,307.191,306.021,308.367,307.327,308.834,315.707,329.185,336.215,337.798
-2877.83,0.995829,0.000265368,4,15,0,2917.31,4.66804,0.584917,0.333731,0.686788,3.52692,4.66804,3.52692,3.52692,0,0,0,3.52692,4.66804,3.52692,0,0,0,3.52692,3.52692,4.66804,0,0,0,0,0,0,0.333731,0,0,0,0,0,0,0.333731,0,0,0,0,0,0,0.333731,92.937,145.071,152.013,161.916,171.108,176.671,190.317,207.376,214.54,228.316,236.187,251.804,252.494,257.311,266.171,267.359,277.593,284.887,287.883,292.354,302.001,303.971,306.607,306.849,308.325,309.02,315.544,327.456,336.788,336.842
-2806.07,0.967338,0.000500458,3,7,0,2879.97,4.66449,0.587205,0.335415,0.694685,3.52208,4.66449,3.52208,3.52208,0,0,0,3.52208,4.66449,3.52208,0,0,0,3.52208,3.52208,4.66449,0,0,0,0,0,0,0.335415,0,0,0,0,0,0,0.335415,0,0,0,0,0,0,0.335415,93.6226,143.931,152.832,161.304,171.625,177.507,189.661,207.704,215.248,227.054,236.935,252.505,252.257,257.889,266.106,267.377,278.258,283.509,289.948,292.276,301.504,306.662,307.056,307.486,308.023,309.616,316.328,326.791,336.369,337.014
-2753.48,1,0.000863311,2,3,0,2806.65,4.6643,0.587577,0.334546,0.701122,3.52557,4.6643,3.52557,3.52557,0,0,0,3.52557,4.6643,3.52557,0,0,0,3.52557,3.52557,4.6643,0,0,0,0,0,0,0.334546,0,0,0,0,0,0,0.334546,0,0,0,0,0,0,0.334546,93.2072,144.635,153.239,161.384,171.427,179.341,188.514,208.55,214.759,227.822,237.683,251.903,252.574,257.186,265.468,267.881,276.176,283.995,287.699,292.591,301.617,306.724,307.144,306.628,306.956,308.968,316.028,327.409,335.729,336.305
